URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,turb_label,in_sigmet,Plane Weight,sample_weight
F,B738,MZZ UA /OV MZZ/TM 1719/FL290/TP B738/TB LGT CHOP 290-270,LGT CHOP 290-270,,29000.0,40.4898637,-85.6797319,2020-02-19 17:19:00+00:00,1.0,0,0,M,0.8
F,C172,DEN UA /OV 230010/TM 0200/FL090/TP C172/TB SEV,SEV,,9000.0,39.8328,-104.6575,2020-02-16 02:00:00+00:00,5.0,1,0,L,0.6
T,C182,ELP UUA /OV KELP/TM 1758/FL150/TP C182/TB TB SEV 150,TB SEV 150,,15000.0,31.81111,-106.37583,2020-02-25 17:58:00+00:00,5.0,1,0,L,0.6
F,LJ40,CLT UA /OV CLT043038/TM 1528/FL040/TP LJ40/TB LGT / MOD CHOP,LGT,,4000.0,35.68577819617455,-80.42553318470168,2020-02-06 15:28:00+00:00,1.0,0,0,M,0.8
F,BE33,SHD UA /OV GVE330038/TM 1545/FL080/TP BE33/TB SEV TURB,SEV TURB,,8000.0,38.70452718287778,-78.5685465395071,2020-02-28 15:45:00+00:00,5.0,1,0,L,0.6
T,H,ILM UUA /OV ILM170180/TM 1038/FL380/TP H/MD11/TB SEV CAT 380/RM LOST 2-300 FT IN ALTITUDE,SEV CAT 380,,38000.0,31.31533743244009,-77.2695655983462,2020-02-18 10:38:00+00:00,5.0,1,0,L,0.6
F,CRJ2,LDM UA /OV LDM/TM 1250/FL270/TP CRJ2/TB LGT 270-290,LGT 270-290,,27000.0,43.96253,-86.40792,2020-02-20 12:50:00+00:00,1.0,0,0,M,0.8
T,SR22,AMG UUA /OV VNA160030/TM 0556/FL080/TP SR22/TB SEV,SEV,,8000.0,31.740115632017847,-83.29786799028676,2020-02-07 05:56:00+00:00,5.0,1,0,L,0.6
F,B752,ALS UA /OV ALS070035/TM 2248/FL400/TP B752/TB LGT CHOP AND MTW/RM +/-200 FPM +/-10KTS ZDV,LGT CHOP AND MTW,,40000.0,37.63841791074124,-105.1709656587773,2020-02-06 22:48:00+00:00,1.0,0,0,M,0.8
F,A319,LYH UA /OV MOL050040/TM 1347/FL300/TP A319/TB LGT/MOD CHOP,LGT,,30000.0,38.32855978368999,-78.4627462134014,2020-02-13 13:47:00+00:00,1.0,0,0,M,0.8
T,SR22,AXX UUA /OV SKX135008-SKX135022 /TM 1651 /FL135 /TP SR22 /TB SEV /RM DURD,SEV,,13500.0,36.36388145908092,-105.55518811310074,2020-02-17 16:51:00+00:00,5.0,1,0,L,0.6
F,C172,UA /OV CYQF 300009 /TM 2240 /FL055 /TP C172 /TB MDT-SEV ABV 045,MDT-SEV ABV 045,,5500.0,52.25722607500607,-114.10631941192725,2020-02-20 22:40:00+00:00,5.0,1,0,L,0.6
F,B738,EVV UA /OV EWO290010/TM 1611/FL350/TP B738/TB NEG,NEG,,35000.0,37.6870079744975,-85.87777025657738,2020-02-16 16:11:00+00:00,0.0,0,0,M,0.8
F,SR22,EWB UA /OV EWB/TM 1230/FL010/TP SR22/TB SEV TURB 5N AT 010,SEV TURB 5N AT 010,,1000.0,41.67639,-70.95833,2020-02-10 12:30:00+00:00,5.0,1,0,L,0.6
F,E75L,EDW UA /OV 2O7/TM 0115/FL300/TP E75L/TB SEV,SEV,,30000.0,36.81,-118.2,2020-02-03 01:15:00+00:00,5.0,1,0,U,0.6
T,A320,MRB UUA /OV MRB270020/TM 0329/FL220/TP A320/TB EXTRM 220,EXTRM 220,,22000.0,39.4019,-78.41608572414385,2020-02-27 03:29:00+00:00,7.0,1,0,M,0.8
T,PC12,SAT UUA /OV SAT180035 /TM 2359 /FL070 /TP PC12 /TB SEV /RM FM ZHU AWC-WEB,SEV,,7000.0,28.95030941661941,-98.46978,2020-02-09 23:59:00+00:00,5.0,1,0,L,0.6
T,A388,PTH UUA /OV PDN265051/TM 0005/FL360/TP A388/TB SEV/RM ZAN,SEV,,36000.0,56.87591161798561,-160.20276781946166,2020-02-29 00:05:00+00:00,5.0,1,0,U,0.6
F,B777,EWR UA /OV SHAFF/TM 0007/FL070/TP B777/SK IMC/TB LGT,LGT,,7000.0,31.43,-85.62,2020-02-27 00:07:00+00:00,1.0,0,0,H,1.0
F,B763,UUA /OV 5148N05432W /TM 0409 /FL310 /TP B763 /TB MDT - SEV,MDT - SEV,,31000.0,51.8,-54.5333,2020-02-08 04:09:00+00:00,5.0,1,0,H,1.0
T,CRJ9,GGG UUA /OV TYR150020 /TM 1752 /FL310 /TP CRJ9 /TB SEV /RM FM ZHU AWC-WEB:,SEV,,31000.0,32.0654414826959,-95.20507851466056,2020-02-05 17:52:00+00:00,5.0,1,1,U,0.6
F,B712,LIH UA /OV LIH/TM 1914/FL030/TP B712/SK SCT030/TB NEG,NEG,,3000.0,21.97,-159.33,2020-02-21 19:14:00+00:00,0.0,0,0,M,0.8
F,C208,ACK UA /OV 240001/TM 1442/FL007/TP C208/SK BASES007/TB LGT CHOP DURD RY6,LGT CHOP DURD RY6,,700.0,41.25311,-70.06031,2020-02-13 14:42:00+00:00,1.0,0,0,L,0.6
T,E545,DEN UUA /OV BJC355009/TM 0127/FL105/TP E545/TB SEV TURB 105 /RM 200 FT LOSS,SEV TURB 105,,10500.0,40.05825130849145,-105.13423470233616,2020-02-15 01:27:00+00:00,5.0,1,0,U,0.6
T,B787,SPI UUA /OV SPI300030/TM 1745/FL370/TP B787/TB OCNL SEV/RM ZKCFDC/FX/OH,OCNL SEV,,37000.0,40.09472025002025,-90.24792299618038,2020-02-05 17:45:00+00:00,5.0,1,0,U,0.6
F,B738,MIA UA /OV ZBV120060/TM 1458/FL340/TP B738/TB LGT CHOP/RM SMOOTH THRU FL320,LGT CHOP,,34000.0,25.169959499959504,-78.33906385721654,2020-02-26 14:58:00+00:00,1.0,0,0,M,0.8
T,B789,BIL UUA /OV BIL215050/TM 0410/FL390/TP B789/TB SEV/RM SEV MTW +2000 FT /ZLC,SEV,,39000.0,45.12421800360756,-109.227946154104,2020-02-02 04:10:00+00:00,5.0,1,0,U,0.6
T,C182,SJC UUA /OV SJC130025/TM 2205/FL050/TP C182/TB SEV/RM DURD,SEV,,5000.0,37.09155013519376,-121.5228182851492,2020-02-02 22:05:00+00:00,5.0,1,0,L,0.6
F,CRJ7,ALB UA /OV ALB190030/TM 1450/FL150/TP CRJ7/TB LGT ONCL,LGT ONCL,,15000.0,42.26512623874002,-73.92187101933328,2020-02-27 14:50:00+00:00,1.0,0,0,M,0.8
T,CRJ9,GGG UUA /OV TYR160020 /TM 1752 /FL310 /TP CRJ9 /TB SEV CONS /RM ZFW AWC-WEB:,SEV CONS,,31000.0,32.04088375467857,-95.26742099500882,2020-02-05 17:52:00+00:00,5.0,1,1,U,0.6
F,B737,MOD UA /OV MOD /TM 1900 /FL330 /TP B737 /TB LGT CHOP /RM TOD TO FL330 AWC-WEB,LGT CHOP,,33000.0,37.62582,-120.95442,2020-02-19 19:00:00+00:00,1.0,0,0,M,0.8
T,B77W,BIG UUA /OV BIG070025/TM 1458/FL330/TP B77W/TB SEV 330 - 290/RM SMOOTH AT 270 ZAN,SEV 330 - 290,,33000.0,64.13251993624374,-144.827080281354,2020-02-18 14:58:00+00:00,5.0,1,0,U,0.6
T,B777,YAK UUA /OV YAK325045/TM 0518/FL350/TP B777/TB SEV/RM SHORT DURATION  SMOOTH AFTER,SEV,,35000.0,60.1144137967532,-140.50765448971578,2020-02-19 05:18:00+00:00,5.0,1,0,H,1.0
F,A320,SOP UA /OV SDZ/TM 1431/FL350/TP A320/TB NEG,NEG,,35000.0,35.22,-79.59,2020-02-11 14:31:00+00:00,0.0,0,0,M,0.8
F,B737,ORL UA /OV ORL056180/TM 1323/FL360/TP B737/TB NEG/RM SMOOTH,NEG,,36000.0,30.223174594423668,-78.50142146528651,2020-02-06 13:23:00+00:00,0.0,0,0,M,0.8
T,B737,SAN UUA /OV TIJ110005 /TM 0910 /FL330 /TP B737 /TB SEV /RM MOD-SEV 330 AWC-WEB:,SEV,,33000.0,32.47149601275125,-116.85714387522052,2020-02-11 09:10:00+00:00,5.0,1,0,M,0.8
T,B77L,PANC UUA /OV 4318N 13500W /TM 2135 /FL300 /TP B77L /TB SEV 300 /RM ZOA CWSU AWC-WEB:,SEV 300,,30000.0,43.3,-135.0,2020-02-14 21:35:00+00:00,5.0,1,0,U,0.6
T,H25B,GSO UUA /OV GSO/TM 2039/FL340/TP H25B/TB SEV CAT 340/RM NO DAMAGE NO INJURES ZTLFD,SEV CAT 340,,34000.0,36.0975,-79.94361,2020-02-05 20:39:00+00:00,5.0,1,0,M,0.8
T,C210,SJC UUA /OV SJC020012/TM 1915/FL045/TP C210/TB SEV/RM DURC SMOOTH AT 050,SEV,,4500.0,37.54735374719287,-121.83835342630796,2020-02-11 19:15:00+00:00,5.0,1,0,L,0.6
F,B190,AKW UA /OV ANN310040/TM 1558/FL030/TP B190/SK OVC030/TOP110/TB NEG/IC NEG/RM DURC /ZAN,NEG,,3000.0,55.46855978368999,-132.4613328475019,2020-02-13 15:58:00+00:00,0.0,0,0,M,0.8
F,E145,ROC UA /OV ROC1410018/TM 2148/FL053/TP E145/SK T065-B028/TA -19/TB LGT TURB 050-025/IC LGT RIME 053-050/RM DURD,LGT TURB 050-025,,5300.0,43.1167,-77.6767,2020-02-29 21:48:00+00:00,1.0,0,0,M,0.8
F,E70,EVV UA /OV PXV/TM 0148/FL310/TP E70/TB CONS LGT CHOP DURD 310-300,CONS LGT CHOP DURD 310-300,,31000.0,37.93,-87.76,2020-02-20 01:48:00+00:00,1.0,0,0,U,0.6
F,B737,RSW UA /OV LBV345015/TM 1314/FL170/TP B737/SK 240/TB NEG,NEG,,17000.0,27.071501016589806,-81.46251642307077,2020-02-26 13:14:00+00:00,0.0,0,0,M,0.8
T,EA50,BTR UUA /OV KBTR135024 /TM 1826 /FL380 /TP EA50 /TB SEV /RM FM ZHU AWC-WEB,SEV,,38000.0,30.254354377242763,-90.81852265346538,2020-02-05 18:26:00+00:00,5.0,1,0,U,0.6
F,C441,BRW UA /OV BRW /TM 0145 /FL012 /TP C441 /SK OVC012-TOP016 /TB NEG/IC NEG /RM DURD RWY 25 AIS 3 MILE FINAL (AKFSS),NEG,,1200.0,71.28,-156.76,2020-02-20 01:45:00+00:00,0.0,0,0,L,0.6
F,B737,TXK UA /OV TXK075030 /TM 2132 /FL400 /TP B737 /TB CONS LGT /RM ZFW AWC-WEB:,CONS LGT,,40000.0,33.58314000473307,-93.41212088767698,2020-02-02 21:32:00+00:00,1.0,0,0,M,0.8
T,C310,DGW UUA /OV IIP/TM 1815/FL100/TP C310/TB SEV/RM MTW +-1500FPM ZDV,SEV,,10000.0,42.68,-105.23,2020-02-14 18:15:00+00:00,5.0,1,0,L,0.6
F,A332,DTA UA /OV DTA /TM 0945 /FL370 /TP A332 /SK SKC /TB NEG /IC NEG /RM HAL50 OVR DTA HALDISP-NF AWC-WEB,NEG,,37000.0,39.3806,-112.5077,2020-02-06 09:45:00+00:00,0.0,0,0,H,1.0
F,A321,SHV UA /OV EMG /TM 0520 /FL360 /TP A321 /TB CONT LGT CHOP /RM OCNL LGT CAT. ZFW AWC-WEB,CONT LGT CHOP,,36000.0,32.4,-93.6,2020-02-18 05:20:00+00:00,1.0,0,0,M,0.8
F,B772,UUA /OV 5023N04700W /TM 0735 /FL330 /TP B772 /TB SEV /RM SMOOTHEDOUT AT F370,SEV,,33000.0,50.3833,-47.0,2020-02-07 07:35:00+00:00,5.0,1,0,H,1.0
F,A321,BZN UA /OV BZN100015/TM 1400/FL120/TP A321/TB LGT CHOP 120/IC NEG ICE ON CLIMBOUT,LGT CHOP 120,,12000.0,45.74464443920415,-110.807729805696,2020-02-07 14:00:00+00:00,1.0,0,0,M,0.8
F,A321,FLL UA /OV FLL300008/TM 2047/FL045/TP A321/SK CLR/TB NEG,NEG,,4500.0,26.136672066672062,-80.27855931378924,2020-02-01 20:47:00+00:00,0.0,0,1,M,0.8
F,A320,DAY UA /OV ROD090030/TM 1851/FL320/TP A320/TB NEG,NEG,,32000.0,40.29,-83.38445094177341,2020-02-20 18:51:00+00:00,0.0,0,0,M,0.8
F,A333,UUA /OV YCL 360010 /TM 1845 /FL280 /TP A333 /TB SEV /RM ACFT WESTBOUND,SEV,,28000.0,48.14668016668016,-66.33,2020-02-06 18:45:00+00:00,5.0,1,0,H,1.0
F,B738,DAB UA /OV OMN063149 /TM 2158 /FL370 /TP B738 /TB NEG /RM BEEN SMOOTH AT FL370..//LIR-BWI AWC-WEB:,NEG,,37000.0,30.42806106130022,-78.57613088558571,2020-02-16 21:58:00+00:00,0.0,0,0,M,0.8
T,B737,ORF UUA /OV 3840N07105W/TM 0430/FL350/TP B737/TB SEV,SEV,,35000.0,38.6666,-71.833,2020-02-19 04:30:00+00:00,5.0,1,0,M,0.8
F,B763,HNL UA /OV 2410N 14930W/TM 1405/FL320/TP B763/TB LGT CHOP/RM SMOOTH FROM 2440N 14910W TO REPORTED POINT. IN SIGMET TANGO...ZOA CWSU,LGT CHOP,,32000.0,24.1666,-149.5,2020-02-13 14:05:00+00:00,1.0,0,1,H,1.0
T,C310,MCO UUA /OV TIX180010/TM 2012/FL075/TP C310/TB SEV,SEV,,7500.0,28.348119833319835,-80.79923,2020-02-15 20:12:00+00:00,5.0,1,0,L,0.6
T,E145,MCB UUA /OV HEZ315010 /TM 2213 /FL360 /TP E145 /TB SEV /RM FM ZHU AWC-WEB,SEV,,36000.0,31.73152067614885,-91.43573878037664,2020-02-12 22:13:00+00:00,5.0,1,1,M,0.8
T,A320,AMG UUA /OV AMG090050/TM 0245/FL360/TP A320/TB SEV,SEV,,36000.0,31.53606,-81.52874710779132,2020-02-07 02:45:00+00:00,5.0,1,1,M,0.8
T,SR22,BJC UUA /OV BJC210022/TM 2237/FL130/TP SR22/TB SEV/RM 130-120 DURD,SEV,,13000.0,39.59124163096549,-105.35621514406604,2020-02-14 22:37:00+00:00,5.0,1,0,L,0.6
T,CRJ2,ATL UUA /OV 15 W ATL/TM 0959/FL100/TP CRJ2/TB SEV TB,SEV TB,,10000.0,33.6301,-84.74207758844686,2020-02-06 09:59:00+00:00,5.0,1,1,M,0.8
F,B738,PBI UA /OV PBI035050/TM 1400/FL300/TP B738/SK TOPS 180-200/TB LGT CHOP,LGT CHOP,,30000.0,27.36738199639244,-79.56439864253389,2020-02-26 14:00:00+00:00,1.0,0,0,M,0.8
