URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,turb_label,Plane Weight,sample_weight
T,C172,FLO UUA /OV FLO360002/TM 1534/FL015/TP C172/TB SEV/RM IN RIGHT DOWNWIND RUNWAY 27,SEV,,1500.0,34.21869603333604,-79.72389,2023-05-01 15:34:00,5.0,1,L,0.6
T,BE33,TYS UUA /OV TYS180010 /TM 1555 /FL070 /TP BE33 /TB OCNL SEV,OCNL SEV,,7000.0,35.651419833319835,-83.9858,2023-05-01 15:55:00,5.0,1,L,0.6
F,TBM9,JAX UA /OV 20 ENE GNV/TM 1715/FL060/TP TBM9/SK CLR/WX 10/TB SEV TB,SEV TB,,6000.0,29.819271476584703,-81.92148606819299,2023-05-01 17:15:00,5.0,1,U,0.6
T,AT76,MCO UUA /OV MCO05010/TM 1910/FL060/TP AT76/TB SEV TURB/RM NO DAMAGE RPTD,SEV TURB,,6000.0,28.42939,-81.30899,2023-05-01 19:10:00,5.0,1,U,0.6
F,A319,UUA /OV CYQB /TM 1912 /FL040 /TP A319 /TB SEV /RM BY SVRL ACFT ONFINAL 24,SEV,,4000.0,46.79111,-71.39333,2023-05-01 19:12:00,5.0,1,M,0.8
T,C310,MSP UUA /OV GEP/TM 2043/FL4000/TP C310/TB OCNL SEV TURB LEVEL FLIGHT 4000,OCNL SEV TURB LEVEL FLIGHT 4000,,40000.0,45.15,-93.37,2023-05-01 20:43:00,5.0,1,L,0.6
T,SW4,JCT UUA /OV KJCT130015/TM 1216/FL120/TP SW4/TB SEV/RM ZHU,SEV,,12000.0,30.35012008111625,-99.54408095741856,2023-05-02 12:16:00,5.0,1,M,0.8
T,SR22,AVL UUA /OV AVL290020/TM 1345/FL095/TP SR22/TB SEV TB,SEV TB,,9500.0,35.545955948994994,-82.92195559822797,2023-05-02 13:45:00,5.0,1,L,0.6
F,C310,AVL UA /OV AVL350015/TM 1351/FL070/TP C310/TB SEV TB,SEV TB,,7000.0,35.67816188062999,-82.5907833922626,2023-05-02 13:51:00,5.0,1,L,0.6
T,BE36,AVL UUA /OV AVL080003/TM 1415/FL040/TP BE36/TB SEV SFC-040/RM DURC,SEV SFC-040,,4000.0,35.440623112159166,-82.47706297323471,2023-05-02 14:15:00,5.0,1,L,0.6
T,BE33,MEM UUA /OV MEM135045/TM 1556/FL045/TP BE33/TB SEV 045/RM ZME,SEV 045,,4500.0,34.53073695733018,-89.33704979576983,2023-05-02 15:56:00,5.0,1,L,0.6
T,E50P,MEM UUA /OV MEM135050/TM 1801/FL085/TP E50P/TB SEV 085/RM ZME,SEV 085,,8500.0,34.47180661925575,-89.26505532863315,2023-05-02 18:01:00,5.0,1,U,0.6
T,C172,OMN UUA /OV FIN /TM 1912 /FL030 /TP C172 /WV 24030KT /TB SEV,SEV,,3000.0,29.4657,-81.2087,2023-05-02 19:12:00,5.0,1,L,0.6
T,SR22,RHP UUA /OV HRS080040/TM 1930/FL140/TP SR22/TB SEV/RM 140 TO 147 NO DAMAGE NO INJURIES ZTLFD,SEV,,14000.0,35.05577482878892,-83.11903643156565,2023-05-02 19:30:00,5.0,1,L,0.6
T,C172,OMA UUA /OV 5 S K57/TM 1944/FL065/TP C172/TB SEV @ 065,SEV @ 065,,6500.0,40.35665991665992,-95.36,2023-05-02 19:44:00,5.0,1,L,0.6
T,C172,OMA UUA /OV OVR165030/TM 1944/FL065/TP C172/TB SEV,SEV,,6500.0,40.68699796682039,-95.56807261648278,2023-05-02 19:44:00,5.0,1,L,0.6
T,C680,AUS UUA /OV 30SEW CWK/TM 2020/FL130/TP C680/TB SEV TURB FL130/RM KZHU,SEV TURB FL130,,13000.0,30.1945278,-97.6698889,2023-05-02 20:20:00,5.0,1,U,0.6
T,PA46,ELY UUA /OV ELY060035/TM 2024/FL170/TP PA46/TB SEV 170 /ZLC,SEV 170,,17000.0,39.586690291690296,-114.19244971665762,2023-05-02 20:24:00,5.0,1,L,0.6
T,PC12,VGT UUA /OV LAS310040/TM 2315/FL140/TP PC12/TB SEV 140/RM DURD 140 - 120,SEV 140,,14000.0,36.50045978368999,-115.79528307425215,2023-05-02 23:15:00,5.0,1,L,0.6
T,PC12,DRA UUA /OV LAS310040/TM 2315/FL140/TP PC12/TB SEV 140-120/RM COR SA-ID AND TURB. ZLA CWSU,SEV 140-120,,14000.0,36.50045978368999,-115.79528307425215,2023-05-02 23:15:00,5.0,1,L,0.6
T,M600,AHN UUA /OV GVL300015/TM 1525/FL075/TP M600/TB SEV/RM BETWEEN 075-070,SEV,,7500.0,34.39695012501013,-84.09229676453931,2023-05-03 15:25:00,5.0,1,U,0.6
T,M600,ATL UUA /OV ATL045055/TM 1525/FL070/TP M600/TB SEV/RM NO DAMAGE NO INJURIES ZTLFD,SEV,,7000.0,34.27833371881867,-83.66326283022659,2023-05-03 15:25:00,5.0,1,U,0.6
T,PA32,SSI UUA /OV SSI280020/TM 1701/FL060/TP PA32/TB SEV,SEV,,6000.0,31.21010741439446,-81.77444462093732,2023-05-03 17:01:00,5.0,1,L,0.6
T,PA32,SSI UUA /OV SSI280020/TM 1701/FL070/TP PA32/TB SEV/RM CORRECTION,SEV,,7000.0,31.21010741439446,-81.77444462093732,2023-05-03 17:01:00,5.0,1,L,0.6
F,C172,KMYR UA /OV MYR260007/TM 1906/FL020/TP C172/TB SEV,SEV,,2000.0,33.65973940496194,-79.06808070078405,2023-05-03 19:06:00,5.0,1,L,0.6
T,BE9L,MGM UUA /OV MGM240045/TM 2041/FL060/TP BE9L/TB EXTRM CAT/RM NO DAMAGE OR INJ/ ZTLFD,EXTRM CAT,,6000.0,31.925609624969628,-87.16246116497797,2023-05-03 20:41:00,7.0,1,L,0.6
T,SR22,IMB UUA /OV IMB160030/TM 2110/FL066/TP SR22/TB SEV/RM ZSE,SEV,,6600.0,44.180115632017845,-119.46959967545736,2023-05-03 21:10:00,5.0,1,L,0.6
F,M20P,TPH UA /OV TPH067053/TM 2200/FL105/TP M20P/TB SEV 105 /ZLC,SEV 105,,10500.0,38.395693787005726,-116.05777990855935,2023-05-03 22:00:00,5.0,1,L,0.6
T,M20P,TPH UUA /OV TPH0670533/TM 2200/FL105/TP M20P/TB SEV 105 /ZLC,SEV 105,,10500.0,38.05052,-117.09043,2023-05-03 22:00:00,5.0,1,L,0.6
F,BE58,ROW UA /OV ROW090015/TM 0131/FL070/TP BE58/TB SEV TURB DURD,SEV TURB DURD,,7000.0,33.3,-104.23086378563244,2023-05-04 01:31:00,5.0,1,L,0.6
T,E75L,SLC UUA /OV TCH183013/TM 0300/FL058/TP E75L/TB SEV 054-058/RM DUR D,SEV 054-058,,5800.0,40.63361274150398,-111.99499207776428,2023-05-04 03:00:00,5.0,1,U,0.6
T,FA7X,LAS UUA /OV MMM100022 /TM 1954 /FL220 /TP FA7X /TB SEV /RM FL220-200 DURD  NO INJURIES AWC-WEB:,SEV,,22000.0,36.70632384416609,-113.82918204862312,2023-05-04 19:54:00,5.0,1,U,0.6
T,FA7X,LAS UUA /OV MMM100022 /TM 1954 /FL220 /TP FA7X /TB SEV /RM FL220-200 DURD  NO INJURIES AWC-WEB,SEV,,22000.0,36.70632384416609,-113.82918204862312,2023-05-04 19:54:00,5.0,1,U,0.6
T,FA50,CDC UUA /OV KSGU165015 /TM 1957 /FL240 /TP FA50 /TB SEV CAT 200-240/RM AWC-WEB:,SEV CAT 200-240,,24000.0,36.79488788341019,-113.42924108584572,2023-05-04 19:57:00,5.0,1,M,0.8
T,FA50,CDC UUA /OV KSGU165015 /TM 1957 /FL240 /TP FA50 /TB SEV CAT 200-240/RM AWC-WEB,SEV CAT 200-240,,24000.0,36.79488788341019,-113.42924108584572,2023-05-04 19:57:00,5.0,1,M,0.8
T,GLF5,FLG UUA /OV FLG100025/TM 2344/FL450/TP GLF5/TB SEV MTN WAVE/RM SEV MTN WAVE ZAB/FDCS,SEV MTN WAVE,,45000.0,35.06792073200692,-111.1703891571266,2023-05-04 23:44:00,5.0,1,M,0.8
T,C208,BWD UUA /OV BWD180025 /TM 0106 /FL050 /TP C208 /TB SEV/RM AWC-WEB:,SEV,,5000.0,31.376909583299582,-98.9565,2023-05-05 01:06:00,5.0,1,L,0.6
T,C208,BWD UUA /OV BWD180025 /TM 0106 /FL050 /TP C208 /TB SEV/RM AWC-WEB,SEV,,5000.0,31.376909583299582,-98.9565,2023-05-05 01:06:00,5.0,1,L,0.6
T,EPIC,DEN UUA /OV DEN170020/TM 2034/FL230/TP EPIC/TB SEV TURB/RM FL230-250... ZDV,SEV TURB,,23000.0,39.50450415916001,-104.5821176113356,2023-05-05 20:34:00,5.0,1,U,0.6
F,A50,DEN UA /OV 13SW DEN/TM 2235/FL070/TP A50/TB SEV TB,SEV TB,,7000.0,39.67958112100649,-104.8570253235584,2023-05-05 22:35:00,5.0,1,U,0.6
T,C560,MSY UUA /OV RYTHM/TM 2255/FL110/TP C560/TB SEV 110,SEV 110,,11000.0,39.734,-77.43,2023-05-05 22:55:00,5.0,1,M,0.8
T,E55S,AUS UUA /OV KAUS045025 /TM 0025 /FL150 /TP E55S /TB SEV TURB /RM KZHU AWC-WEB:,SEV TURB,,15000.0,30.489179490372123,-97.3289842326679,2023-05-06 00:25:00,5.0,1,U,0.6
T,E55S,AUS UUA /OV KAUS045025 /TM 0025 /FL150 /TP E55S /TB SEV TURB /RM KZHU AWC-WEB,SEV TURB,,15000.0,30.489179490372123,-97.3289842326679,2023-05-06 00:25:00,5.0,1,U,0.6
F,C182,PVD UA /OV 2 NW OQU/TM 1238/FL020/TP C182/TB SEV,SEV,,2000.0,41.616260763202966,-71.44865529749788,2023-05-06 12:38:00,5.0,1,L,0.6
T,C560,SUS UUA /OV FTZ180030/TM 1353/FL150/TP C560/TB SEV 150-120/RM ZKC/FD1/CJ,SEV 150-120,,15000.0,38.1899594999595,-90.97,2023-05-06 13:53:00,5.0,1,M,0.8
T,TBM9,AUN UUA /OV AUN/TM 1905/FL195/TP TBM9/TB SEV/RM NO INJURIES DURD,SEV,,19500.0,38.95481,-121.08172,2023-05-06 19:05:00,5.0,1,U,0.6
F,PA24,UUA /OV CYQU 090018 /TM 1950 /FL065 /TP PA24 /TB MDT-SEV /RM FU TOPSAT BASES OF CU CLD,MDT-SEV,,6500.0,55.17972,-118.35956724390084,2023-05-06 19:50:00,5.0,1,L,0.6
T,B789,RAP UUA /OV RAP240105/TM 2222/FL370/TP B789/TB SEV/RM ZDV,SEV,,37000.0,43.170259124929125,-105.16599706368346,2023-05-06 22:22:00,5.0,1,U,0.6
T,TBM9,DEN UUA /OV DEN 265045/TM 2259/FL140/TP TBM9/TB SEV/RM 140DURD135,SEV,,14000.0,39.767427898222586,-105.63053040022274,2023-05-06 22:59:00,5.0,1,U,0.6
