URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,turb_label,in_sigmet,Plane Weight,sample_weight
F,B748,PASY UA /OV 5126N16739E/TM 0537/FL330/TP B748/TB LGT CHOP/RM ZAN,LGT CHOP,202509210500-KMSC-UBUS01-PIREP,33000.0,51.4333,167.65,2025-09-21 05:37:00+00:00,1.0,0,0,U,0.6
T,H25B,ADW UUA /OV OTT087018/TM 2105/FL190/TP H25B/TB SEV 190,SEV 190,202509192100-KMSC-UBUS01-PIREP,19000.0,38.72570205863789,-76.35603875396129,2025-09-19 21:05:00+00:00,5.0,1,0,M,0.8
T,BE99,LDM UUA /OV LDM/TM 0039/FL090/TP BE99/TB EXTRM 090,EXTRM 090,202509040100-KMSC-UBUS01-PIREP,9000.0,43.96253,-86.40792,2025-09-04 00:39:00+00:00,7.0,1,0,L,0.6
F,B737,FMN UA /OV RSK220060/TM 1653/FL370/TP B737/TB CONS LGT CHOP OCNL MODC HOP/RM ZDVWC-38,CONS LGT CHOP OCNL MODC HOP,202509241600-KMSC-UBUS01-PIREP,37000.0,35.98389350721908,-108.9022921892577,2025-09-24 16:53:00+00:00,1.0,0,0,M,0.8
T,PRM1,TPH UUA /OV TPH050040/TM 2332/FL410/TP PRM1/TB SEV 410/RM /ZLC,SEV 410,202509052300-KMSC-UBUS01-PIREP,41000.0,38.47907978368999,-116.44184754926916,2025-09-05 23:32:00+00:00,5.0,1,1,L,0.6
F,B737,CDV UA /OV JOH090070/TM 2323/FL216/TP B737/SK TOP216/TB LGT/IC NEG/RM DURC ZAN,LGT,202509092300-KMSC-UBUS01-PIREP,21600.0,60.48,-144.23203486314588,2025-09-09 23:23:00+00:00,1.0,0,0,M,0.8
T,BE20,CLT UUA /OV CLT090020/TM 2052/FL170/TP BE20/TB SEV CAT/RM AIRCRAFT CLIMBED 400FT NO DAMAGE OR INJURIES ZTLFD-30,SEV CAT,202509062000-KMSC-UBUS01-PIREP,17000.0,35.22255,-80.54623924309435,2025-09-06 20:52:00+00:00,5.0,1,1,M,0.8
F,DC3S,FAI UA /OV PAFA /TM 1758 /FL045 /TP DC3S /SK OVC008-TOP045 /TB NEG /IC NEG /RM DURD RWY 20R FAI ATCT (AKFSS,NEG,202509111810-KWBC-UBUS31-PRCUS,4500.0,64.80389,-147.87611,2025-09-11 17:58:00+00:00,0.0,0,0,U,0.6
F,A321,OMN UA /OV OMN/TM 0105/FL220/TP A321/TB LGT CHOP,LGT CHOP,202509300100-KMSC-UBUS01-PIREP,22000.0,29.30056,-81.11361,2025-09-30 01:05:00+00:00,1.0,0,0,M,0.8
F,DA20,PUB UA /OV PUB/TM 1300/FL060/TP DA20/TB NEG 060,NEG 060,202509221300-KMSC-UBUS01-PIREP,6000.0,38.29,-104.49833,2025-09-22 13:00:00+00:00,0.0,0,0,L,0.6
F,C560,ASE UA /OV DBL/TM 0005/FL130/TP C560/TB OCNL LGT/RM DURD,OCNL LGT,202509100000-KMSC-UBUS01-PIREP,13000.0,39.44,-106.9,2025-09-10 00:05:00+00:00,1.0,0,1,M,0.8
T,E75L,BHM UUA /OV VUZ020015/TM 1409/FL230/TP E75L/TB OCNL SEV CAT 170-210/RM DURC NO INJURIES NO DAMAGE ZTLFD-13,OCNL SEV CAT 170-210,202509061400-KMSC-UBUS01-PIREP,23000.0,33.90494218399108,-86.797251397532,2025-09-06 14:09:00+00:00,5.0,1,1,U,0.6
F,E170,LSB UA /OV SSO085020/TM 2349/FL350/TP E170/TB SEV/RM ZAB/FDCS,SEV,202509252300-KMSC-UBUS01-PIREP,35000.0,32.29905426745663,-108.86724364771894,2025-09-25 23:49:00+00:00,5.0,1,1,U,0.6
F,B737,LBF UA /OV LBF/TM 2323/FL390/TP B737/SK TOP 450/TB NEG/RM ZDVWC-09,NEG,202509022300-KMSC-UBUS01-PIREP,39000.0,41.12191,-100.66896,2025-09-02 23:23:00+00:00,0.0,0,0,M,0.8
F,B737,YAK UA /OV YAK251094/TM 2056/FL340/TP B737/TB LGT CHOP/RM ZAN,LGT CHOP,202509092100-KMSC-UBUS01-PIREP,34000.0,58.98990191004367,-142.5788580206843,2025-09-09 20:56:00+00:00,1.0,0,0,M,0.8
F,C208,LAA UA /OV LAA125035/TM 1055/FL120/TP C208/SK BASE 130/TB NEG/RM ZDVWC-27,NEG,202509171200-KMSC-UBUS01-PIREP,12000.0,37.73538664394817,-102.08104501693305,2025-09-17 10:55:00+00:00,0.0,0,1,L,0.6
F,B737,ACT UA /OV ACT030015/TM 1251/FL340/TP B737/SK TOP 290-300/TB CONS LGT CHOP 250 BLO/RM ZFW46,CONS LGT CHOP 250 BLO,202509061300-KMSC-UBUS01-PIREP,34000.0,31.834493887978077,-97.08149912814704,2025-09-06 12:51:00+00:00,1.0,0,1,M,0.8
T,C25C,LAS UUA /OV LAS158014/TM 1902/FL070/TP C25C/TB EXTRM/RM NTNDO1 ARR./KHND,EXTRM,202509091900-KMSC-UBUS01-PIREP,7000.0,35.85553957680871,-115.05525007631978,2025-09-09 19:02:00+00:00,7.0,1,0,U,0.6
F,B738,TRI UA /OV HMV/TM 1049/FL320/TP B738/TB NEG/RM ZTLFD-42,NEG,202509231000-KMSC-UBUS01-PIREP,32000.0,36.44,-82.13,2025-09-23 10:49:00+00:00,0.0,0,0,M,0.8
F,ALL,LIC UA /OV HGO325025/TM 1200/FL230/TP ALL/TB NEG/RM DURD INTO KDEN ARR GATE ZDVWC-,NEG,202509101200-KMSC-UBUS01-PIREP,23000.0,39.15134099819623,-103.9367258351196,2025-09-10 12:00:00+00:00,0.0,0,0,L,0.6
T,A21N,ATL UUA /OV SPA200020/TM 2343/FL350/TP A21N/TB SEV CAT/RM ZTLFD-28 NO DAMAGE OR INJURIES,SEV CAT,202509290000-KMSC-UBUS01-PIREP,35000.0,34.602465954678564,-82.09554471421986,2025-09-28 23:43:00+00:00,5.0,1,0,U,0.6
F,B38M,JOT UA /OV JOT300025/TM 1528/FL370/TP B38M/TB NEG,NEG,202509141500-KMSC-UBUS01-PIREP,37000.0,41.72604020835021,-88.65757676528764,2025-09-14 15:28:00+00:00,0.0,0,0,U,0.6
F,C208,FYU UA /OV FYU/TM 1648/FL090/TP C208/SK OVC064/TB NEG/IC NEG/RM SW WIDE OPEN - CLR TO WEST-ZAN,NEG,202509181700-KMSC-UBUS01-PIREP,9000.0,66.57,-145.24,2025-09-18 16:48:00+00:00,0.0,0,0,L,0.6
